"su_su_no","plot_plot_no","lucs_no","lucs_general_lucc","lucs_general_forest","lucs_general_owl","lucs_general_lucs_accessibility","lucs_general_lucs_accessibility_qualifier","lucs_general_width","lucs_general_width_unit_name","lucs_general_length","lucs_general_length_unit_name","lucs_general_designation_protection_status","lucs_general_designation_protection_status_qualifier","lucs_general_land_tenure_land_ownership","lucs_general_land_tenure_land_ownership_qualifier","lucs_general_land_tenure_management_agreement","lucs_general_land_tenure_management_agreement_qualifier","lucs_general_vegetation_cover_tree_canopy_cover","lucs_general_vegetation_cover_tof_distribution","lucs_general_vegetation_cover_tof_distribution_qualifier","lucs_general_vegetation_cover_trees_expected","lucs_general_vegetation_cover_shrub_cover","lucs_general_vegetation_cover_shrub_height","lucs_general_vegetation_cover_shrub_height_unit_name","lucs_general_vegetation_cover_herbaceous_cover","lucs_general_drainage_water_logging","lucs_general_drainage_filtering_capacity","lucs_general_soil_erosion[1]","lucs_general_soil_erosion_qualifier[1]","lucs_general_soil_erosion[2]","lucs_general_soil_erosion_qualifier[2]","lucs_general_soil_erosion[3]","lucs_general_soil_erosion_qualifier[3]","lucs_general_soil_erosion[4]","lucs_general_soil_erosion_qualifier[4]","lucs_general_soil_erosion[5]","lucs_general_soil_erosion_qualifier[5]","lucs_general_soil_erosion[6]","lucs_general_soil_erosion_qualifier[6]","lucs_general_soil_erosion[7]","lucs_general_soil_erosion_qualifier[7]","lucs_general_soil_erosion[8]","lucs_general_soil_erosion_qualifier[8]","lucs_general_soil_erosion[9]","lucs_general_soil_erosion_qualifier[9]","lucs_general_soil_erosion[10]","lucs_general_soil_erosion_qualifier[10]","lucs_general_soil_erosion[11]","lucs_general_soil_erosion_qualifier[11]","lucs_general_soil_erosion[12]","lucs_general_soil_erosion_qualifier[12]","lucs_general_fire_fire_evidence","lucs_general_fire_fire_area","lucs_general_fire_fire_area_unit_name","lucs_general_fire_fire_type[1]","lucs_general_fire_fire_type[2]","lucs_general_fire_fire_type[3]","lucs_general_fire_fire_type[4]","lucs_general_fire_fire_cause[1]","lucs_general_fire_fire_cause_qualifier[1]","lucs_general_fire_fire_cause[2]","lucs_general_fire_fire_cause_qualifier[2]","lucs_general_fire_fire_cause[3]","lucs_general_fire_fire_cause_qualifier[3]","lucs_general_fire_fire_cause[4]","lucs_general_fire_fire_cause_qualifier[4]","lucs_general_wildlife_wildlife_disturbance","lucs_forest_owl_stand_origin","lucs_forest_owl_stand_structure","lucs_forest_owl_management_plan","lucs_forest_owl_forest_ownership","lucs_forest_owl_forest_ownership_qualifier","lucs_forest_owl_human_disturbance","lucs_forest_owl_disturbance_type","lucs_forest_owl_disturbance_type_qualifier","lucs_forest_owl_timber_exploit[1]","lucs_forest_owl_timber_exploit_qualifier[1]","lucs_forest_owl_timber_exploit[2]","lucs_forest_owl_timber_exploit_qualifier[2]","lucs_forest_owl_timber_exploit[3]","lucs_forest_owl_timber_exploit_qualifier[3]","lucs_forest_owl_timber_exploit[4]","lucs_forest_owl_timber_exploit_qualifier[4]","lucs_forest_owl_stumps_removal","lucs_forest_owl_branches_top_removal","lucs_forest_owl_silviculture[1]","lucs_forest_owl_silviculture_qualifier[1]","lucs_forest_owl_silviculture[2]","lucs_forest_owl_silviculture_qualifier[2]","lucs_forest_owl_silviculture[3]","lucs_forest_owl_silviculture_qualifier[3]","lucs_forest_owl_silviculture[4]","lucs_forest_owl_silviculture_qualifier[4]","lucs_forest_owl_silviculture[5]","lucs_forest_owl_silviculture_qualifier[5]","lucs_forest_owl_silviculture[6]","lucs_forest_owl_silviculture_qualifier[6]","lucs_forest_owl_silviculture[7]","lucs_forest_owl_silviculture_qualifier[7]","lucs_forest_owl_silviculture[8]","lucs_forest_owl_silviculture_qualifier[8]","lucs_forest_owl_silviculture[9]","lucs_forest_owl_silviculture_qualifier[9]","lucs_forest_owl_silviculture[10]","lucs_forest_owl_silviculture_qualifier[10]","lucs_forest_owl_logging_technology[1]","lucs_forest_owl_logging_technology_qualifier[1]","lucs_forest_owl_logging_technology[2]","lucs_forest_owl_logging_technology_qualifier[2]","lucs_forest_owl_logging_technology[3]","lucs_forest_owl_logging_technology_qualifier[3]","lucs_forest_owl_logging_technology[4]","lucs_forest_owl_logging_technology_qualifier[4]","lucs_forest_owl_logging_technology[5]","lucs_forest_owl_logging_technology_qualifier[5]","lucs_forest_owl_logging_technology[6]","lucs_forest_owl_logging_technology_qualifier[6]","lucs_crop_soil_water_conservation[1]","lucs_crop_soil_water_conservation_qualifier[1]","lucs_crop_soil_water_conservation[2]","lucs_crop_soil_water_conservation_qualifier[2]","lucs_crop_soil_water_conservation[3]","lucs_crop_soil_water_conservation_qualifier[3]","lucs_crop_grazing_grazing_intensity","lucs_crop_grazing_grazing_quality","lucs_crop_grazing_grazing_quality_trend","lucs_notes"
"0445","3","1","WG","false","true","0","","20.0","","250.0","","8","","1","","1","","1","1","","3","4","3.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0432","1","1","WG","false","true","0","","20.0","","250.0","","3","","1","","1","","1","1","","2","4","3.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","90","1","","2","3","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0432","2","1","WG","false","true","0","","20.0","","250.0","","3","","1","","1","","1","1","","2","3","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","90","1","","2","3","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0432","3","1","WG","false","true","0","","20.0","","90.0","","3","","1","","1","","1","1","","3","2","2.0","","4","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","90","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0432","3","2","OCA","false","false","0","","20.0","","160.0","","6","","1","","1","","1","1","","3","2","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","6","","","","true","2","3","Theirs two land use in plot 3  the first one is (w g) and the sacond  ( OCA )"
"0432","4","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","2","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","5","","","","true","2","1",""
"0901","3","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","4","","4","0","","3","2","3.0","","4","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0901","4","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","4","","4","0","","3","3","2.5","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0901","1","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","1","","4","0","","3","2","3.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","1","1","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0901","2","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","4","","4","0","","3","3","3.0","","5","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0899","1","1","WG","false","true","0","","20.0","","250.0","","8","","1","","1","","3","0","","3","2","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0899","2","1","FD","true","false","0","","20.0","","10.0","","8","","1","","1","","5","0","","3","2","3.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","1","0","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0899","3","1","OCA","false","false","0","","20.0","","80.0","","5","","7","","1","","1","1","","1","1","2.0","","3","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","false","0","0",""
"0899","3","2","WG","false","true","0","","20.0","","170.0","","8","","1","","1","","1","0","","3","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","1","","2","1","","0","","","","","","","","true","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0899","4","1","WG","false","true","0","","20.0","","250.0","","8","","1","","1","","2","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","2","1","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0644","4","1","FD","true","false","0","","20.0","","160.0","","8","","1","","1","","3","0","","2","2","2.0","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0644","4","2","OCA","false","false","0","","20.0","","90.0","","8","","1","","1","","1","1","","2","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","2","1",""
"0644","1","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","1","","2","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0644","2","1","OCA","false","false","0","","20.0","","32.0","","6","","1","","1","","1","0","","3","0","","","0","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","false","0","0",""
"0644","2","2","WG","false","true","0","","20.0","","218.0","","8","","1","","1","","1","0","","1","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0644","3","1","WG","false","true","0","","20.0","","250.0","","8","","3","","1","","1","0","","2","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","1","1","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0559","1","1","F","true","false","0","","20.0","","250.0","","3","","3","","2","","5","0","","3","1","2.0","","2","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","2","N","0","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0559","2","1","F","true","false","0","","20.0","","250.0","","3","","3","","2","","4","0","","3","1","2.0","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","2","N","0","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0559","3","1","F","true","false","0","","20.0","","250.0","","3","","3","","2","","5","0","","3","1","2.0","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","2","N","0","90","3","","1","99","pasturalist","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0559","4","1","F","true","false","0","","20.0","","250.0","","3","","3","","2","","4","0","","3","1","2.0","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","2","N","0","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0879","2","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","4","1","","2","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","2","2",""
"0879","3","1","OCA","false","false","0","","20.0","","25.0","","8","","1","","1","","1","1","","3","0","","","1","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0879","4","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","1","1","","3","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","1","800","","2","","","","4","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0879","1","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","1","1","","3","0","","","1","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0676","1","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","2","","5","0","","3","1","3.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","2","2500","","2","","","","90","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0676","2","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","2","","4","0","","3","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","2","2500","","2","","","","90","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0676","3","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","2","","4","0","","3","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","1","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0676","4","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","2","","4","0","","3","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","1","1200","","2","","","","90","","","","","","","","1","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0783","1","1","FSD","true","false","0","","20.0","","250.0","","3","","1","","1","","2","0","","3","2","1.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","0","1","","0","0","","99","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","Graded area have a good drainage water"
"0783","2","1","WG","false","true","0","","20.0","","250.0","","3","","1","","1","","1","0","","3","2","1.5","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0783","3","1","WG","false","true","0","","20.0","","250.0","","3","","1","","1","","2","0","","3","2","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0783","4","1","WG","false","true","0","","20.0","","250.0","","3","","1","","1","","2","0","","3","1","2.5","","3","3","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","It's woody grass land with scatter small trees"
"0803","1","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","2","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","3","3",""
"0803","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0803","3","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0803","4","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0872","1","1","FD","true","false","0","","20.0","","250.0","","8","","1","","1","","4","0","","3","2","2.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0872","2","1","FD","true","false","0","","20.0","","250.0","","8","","1","","1","","4","0","","3","2","2.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0872","3","1","FD","true","false","0","","20.0","","250.0","","8","","1","","1","","4","0","","3","1","2.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0872","4","1","FD","true","false","0","","20.0","","250.0","","8","","3","","1","","4","0","","3","2","2.0","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","0","1","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0641","2","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","4","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","1","1","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0641","1","1","OCA","false","false","0","","20.0","","20.0","","8","","1","","1","","0","1","","1","0","","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","2","2",""
"0641","1","2","FD","true","false","0","","20.0","","230.0","","8","","3","","2","","4","0","","3","2","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0641","3","1","FD","true","false","0","","20.0","","250.0","","8","","3","","2","","4","0","","3","2","4.0","","2","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","1","N","1","90","3","","1","1","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0641","4","1","OCA","false","false","0","","20.0","","175.0","","6","","1","","1","","1","0","","3","1","3.0","","1","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","true","2","2",""
"0641","4","2","FD","true","false","0","","20.0","","75.0","","3","","3","","2","","3","0","","3","2","4.0","","2","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","1","N","1","0","3","","1","1","","0","","","","","","","","true","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0519","2","1","WG","false","true","0","","20.0","","250.0","","3","","3","","2","","2","0","","3","1","3.0","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","1","1","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0519","3","1","OCA","false","false","0","","20.0","","250.0","","3","","3","","2","","1","0","","3","0","","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","90","","","","true","1","3",""
"0952","3","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","3","0","","3","1","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","2","200","","2","","","","90","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0952","4","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","3","0","","3","1","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0952","1","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","3","0","","3","1","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
